model,topic,topic_strength,example_complaint
NMF,1,0.23535029808003458,"I cancelled my XXXX service and noticed on my bill that I was being charged for my equipment. I called XXXX and provided proof that I had returned the equipment and they told me that they were sorry and they would take care of it and remove from my account. I did n't find out until much later when a Collection Agency said that I did n't return the equipment. The entire time XXXX told me that they received the equipment and not to worry about the charge, that it would be removed. I ca n't believe that they sent me to collections after being told it was taken care of, when it was a mistake in the first place. After I found out it was sent to collection, I called the collection agency immediately, and explained the situation and was told not to worry about it and they would call XXXX and take care of everything. I am just now finding out that the collection agency did n't follow through when pulling my credit with a company and being told that it was still on my report. I was in shock and still ca n't believe this has not been taken care of. It is costing me a lot of money and hurting my credit for a mistake that was never my fault in the first place, and should have been resolved when I was told it would be."
NMF,1,0.21279390049587446,"i had an account with XXXX I opened with my daughter in XX/XX/XXXX. I purchased XXXX phones. In XX/XX/XXXX, I paid off the phones and cancelled my service and left my daughter on the T-mobile account. She was paying the bill. The bills were forwarded to HER home in N.C. and she was paying them. Around XX/XX/XXXX, my daughter purchased a 2 YEAR contract w/an XXXX. I was contacted when she wanted to purchase the XXXX and I told XXXX I was no longer the owner of the account again. They again removed me from the account, approved my daughter for the XXXX and I thought that was the end of it. Then I stopped receiving my mail all together, and discovered a change of address had been put in for me so I called the Post Office and had my mail switched back to my home and I discovered XXXX was charging me for 'something ', so I called and told them I did n't have an account. They said they fix it and again I thought they 'd figure it out. I confirmed with my daughter that she was paying her bill because I continued to get bills saying my account was over due, but she assured me she was paying, so I ignored it, and figured we were just being double billed. Finally in XX/XX/XXXX I received a collection notice, when I called I was told it was for an XXXX. It turns out that XXXX was billing me for her XXXX and billing my daughter only for phone service. They were trying to hold me accountable for her purchasing the phone but were billing her for the monthly service. I called several times with my contract showing I never authorized anyone other than myself to purchase or use my account. While this point is moot as I cancelled my account in XX/XX/XXXX. There are numerous calls from me cancelling the account, and my daughter opening an account. The account my daughter opened was a special account that allowed for a two year contract with the purchase of an iphone. XXXX used my credit to give her an XXXX. I spoke with several representative there, and my daughter does n't have a problem paying for the XXXX under the terms she thought she was agreeing to, i..e a two year plan which included the price of an XXXX. I am not responsible. Further I should n't be in collections. I called this evening after having been promised that I would be removed from collections, the outstanding balance would be transferred back to my daughter 's account, she could pay over the term of her contract as it was stated and that my credit report would be corrected. Now, I 'm being told by XXXX that they ca n't do it. It 's been too long they are n't resposible."
NMF,1,0.21186111974703617,"- On XX/XX/XXXX I went to an XXXX  store with my wife to buy an XXXX. While there the salesman offerred us a special joing XXXX/XXXX  "" special '' because we were buying an XXXX. The special was that XXXX would install their system for free and that we would only have to pay about $ XXXX/month for basic service ( we only considered it for our young son to watch cartoons on basic service, we don't watch any premium services ). They explained only our first bill would reflect some fees ( totaling about {$130.00}, that we had to pay ( that would be "" rebated '' ) and that our service would be about {$30.00} thereafter. 

- On XX/XX/XXXX they installed the system - The first bill we received in XXXX was for {$70.00} ( almost twice what we had agreed upon ). I called to dispute, sitting on hold for more than an hour waiting for various people to help me. They apologized and said it would be corrected on the next bill. 

- The next bill came in XXXX and was also $ XXXX ( twice what was represented. ) I called again to dispute and again sat on hold for more than an hour. At this point they said they couldn't discuss until the account was not delinquent so I paid the {$150.00} amount ( for 2 months ). Again, they told me the amount would be corrected on the next bill. 

- The next bill came in XXXX and was even higher at {$82.00}! Again I called to complain, again sat on hold for more than an hour and again was told it would be "" escalated & corrected ''. I told them if they couldn't correct the constant billing errors to take back their equipment and cancel my service. They apologized profusely and assured me this time it would be corrected. It never was. 

- The next bill came in XXXX and like the others before was more than twice represented, again I sat on hold for more than an hour and again was told they couldn't discuss until the account was not delinquent so I paid the {$130.00} amount ( for 2 months ). Again, they told me the amount would be corrected on the next bill. 

- The next bill came and FINALLY, after 5 months, was the correct amount at about {$30.00}. 

- This would only last about a month, as the next one came in as before at double that again. By XXXX we were back to XXXX XXXXmonth and {$110.00} past due and I had a new regular monthly job waiting on hold for hours at a time XXXX. 

- By XXXX I was feeling like I had been straight out defrauded and shaken down ( every month needing to do multiple hour+ long calls ) So I contacted XXXX to speak to a manager about being defrauded and filled out an XXXX/XXXX  dispute form. They told me that they couldn't help me because the contract I had was actually with a "" division of XXXX that was especially for XXXX  and not XXXX itself '' and that I'd need to contact the XXXX/XXXX. I contacted the XXXX/XXXX  and was told the exact opposite. Each phone call an hour plus and each phone call ( that I wasn't disconnected, transferred or hung up on afte waiting an hour+ ) ended in me being told they couldn't help me and that I'd have to call the other. 

- By XX/XX/XXXX, I was given a FINAL NOTICE that my service would be terminated and that I owed {$130.00} ( I had been double charged and been double paying for almost a year at this point ), called for another hour+ call and told them to come pick up their equipment that I had been defrauded and didn't want the service anymore. They said they would send someone to pick up the equipment. As usual, they never did what they said, no one showed up, and on XX/XX/XXXX the disconnected my service and said I owed ( somehow 5 days later ) now {$150.00}. 

- My bank checked my credit which to my shock showed a XXXX collection of {$680.00}!!! I have been defrauded by XXXX/XXXX  an now they have also ruined my credit!!!"
NMF,2,0.5389556632904481,"ATTENTION DISPUTE DEPARTMENT XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1994 ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX ENHANCED RECOVERY CO XXXX XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. 1681m ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report. 
I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section 1681c-2 of this title has resulted from identity theft.

( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ).

( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity.

A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section 1681c-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious ENHANCED RECOVERY CO XXXX XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX, XXXX Telephone Consumer Protection Act Litigation, Case No. XXXX, in the U.S. District Court for the Southern District of XXXX Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1994 ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX"
NMF,2,0.5383806161760646,"XXXX XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1987 ADDRESS XXXX XXXX XXXX, XXXX, FL XXXX ERC XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. 1681m ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report.

I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section 1681c-2 of this title has resulted from identity theft.

( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ). 
( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity.

A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section 1681c-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious ERC XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX, XXXX Telephone Consumer Protection Act Litigation, Case No. 11-MD-2295-JAH-BGS, in the U.S. District Court for the Southern District of California Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1987 ADDRESS XXXX XXXX XXXX, XXXX, FL XXXX"
NMF,2,0.5364060665469806,"XXXX, XXXX XXXX SOC SEC # XXXX DOB XXXX/XXXX/XXXX ADDRESS XXXX XXXX XXXX XXXX, XXXX XXXX, FL XXXX Todays date : XXXX/XXXX/XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. XX/XX/XXXXm ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report. 
I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section XX/XX/XXXXc-2 of this title has resulted from identity theft. 
( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ). 
( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity. 
A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section XX/XX/XXXXc-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious ENHANCED RECOVERY CO XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX XXXX XXXX Telephone Consumer Protection Act Litigation, Case No. XXXX, in the XXXX Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX, XXXX XXXX SOC SEC # XXXX DOB XXXX/XXXX/XXXX ADDRESS XXXX XXXX XXXX XXXX, XXXX XXXXXXXX XXXX"
NMF,3,0.5142987411205662,"I sent ( 2 ) Letters in XX/XX/2022 and XX/XX/2022 to Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' who is reporting fraudulent & unvalidated information. 
"" ENHANCED RECOVERY COMPANY '' are allegedly stating I have alleged debt of {$230.00} but I never contracted to do business with them ; The Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' provided insufficient validation that did not follow my request. 
"" ENHANCED RECOVERY COMPANY '' had ( 15 ) days to provide the correct request to validate the debt which they did not ; It has been more than ( 60 ) days ; I requested the following from Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' as I was never notified of this alleged debt collection. 
I do not believe this debt is accurate. Under the FAIR DEBT COLLECTION PRACTICES ACT, I have the right to request and receive validation of the debt. I am requiring the following exactly as instructed : An explanation of what this alleged account balance is for. 
A complete Audit Trail calculation of this balance, including the complete payment history on this account, so I have proof that the amount is correct.

Documentation that shows I agreed to pay this debt with my signature ; documentation shows I gave you permission to have my information and paperwork showing I gave you authorization to report this to my credit report. No consent to you having my information and unauthorized use of my social security number is identity theft which you will be reported for such. 
The Agreement that grants you authority to collect on this alleged debt. 
A copy of your state license, including license number that give you rights to collect in my state. 
The purchase agreement Any Executive Officer to Swear under penalty of perjury you were present during the alleged debt Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' has to understand reporting information that you know to be inaccurate or failing to report information correctly violates the Fair Credit Reporting Act. 
Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' have committed the following FDCPA Violations as they are sending deceptive forms making false belief that I owe them anything. 15 USC 1692j - Furnishing certain deceptive forms ( a ) It is unlawful to design, compile and furnish any form knowing that such form would be used to create false belief in a consumer that a person other than the creditor of such consumer is participating in the collection of or in an attempt to collect a debt such consumer allegedly owes such creditor, when in fact such person is not so participating. I am not participating in the collection of this alleged debt. Stop contacting me about this or any other matter you have. Cease and Desist ASAP and delete this account from these Credit Reporting Agencies ( XXXX and XXXX ) except to provide me with accurate validation of this debt by US mail only not the same insufficient document you already sent.

I have also submitted this letter to the Consumer Financial Protection Bureau ( CFPB ), XXXX State Attorney General and The XXXX XXXX XXXX  to have confirmation of proof. You have another ( 15 ) days from the date of this letter to respond with all items requested and I demand these items to be removed immediately from Credit Reporting Agencies ( XXXX ) and 3rd parties or I will seek Monetary compensation damages for all the violations you already committed. 
I do not know this Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' and never signed any contract with them. 
The Alleged Debt Collection Company "" ENHANCED RECOVERY COMPANY '' illegally received my personal information without my permission which is Identity Theft a violation of my federally protected consumer rights."
NMF,3,0.4775425521301229,"As I have not heard back from you in over 60 days, regarding my demand for proof, since my notice of my dispute and you have not supplied the demanded proof of the alleged debt, under the doctrine of estoppel by silence, XXXX XXXX XXXX ( Mo ) XXXX XXXX XXXX, XXXX, I may presume that no proof of the alleged debt, nor therefore any such debt, in fact exists. 


In a good faith effort to resolve this matter amicably, I restate my demand for proof of the debt, specifically the alleged contract or other instrument bearing my signature, as well as proof of your authority in this matter. Absent such proof, you must terminate this collection action and correct any erroneous reports of this debt as mine. 

For the record, I state again that as I have no account with you, nor am I your customer, nor have I entered into a contract with you, I must ask for the following information : 1 ) Please evidence your authorization under 15 USC 1692 ( e ) and 15 USC 1692 ( f ) in this alleged matter.

2 ) What is your authorization of law for your collection of information?

3 ) What is your authorization of law for your collection of this alleged debt?

4 ) Please evidence your authorization to do business or operate in the state.

5 ) Please evidence proof of the alleged debt, including specifically the alleged contract or other instrument bearing my signature. 

You have 15 days of this notice to respond. Your failure to respond, on point, in writing, hand signed, and in a timely manner, will work as a waiver to any and all of your claims in this matter, and will entitle me to presume that you sent your letter ( s ) in error, and that this matter is permanently closed. 

Your continued silence is unacceptable. Either provide the proof or correct the record to remove the invalid debt from my credit files with the three-primary credit-reporting agencies. You are currently in violation of the Fair Credit Reporting Act and the Fair Debt Collection Act. 

Failure to respond within 15 days of this letter will begin my small claims action against your company. I will be seeking {$5000.00} in damages for the following : 1 ) Defamation 2 ) Negligent Enablement of Identity Fraud 3 ) Violation of the Fair Credit Reporting Act After obtaining the judgment against your company, I will obtain a Writ of Execution from the Sheriffs office in your county and I will begin the process of attaching property or funds to satisfy the judgment. 

For the purposes of 15 USC 1692 et seq., this Notice has the same effect as a dispute to the validity of the alleged debt and a dispute to the validity of your claims. This Notice is an attempt to correct your records, and any information received from you will be collected as evidence should any further action be necessary. This is a request for information only, and is not a statement, election, or waiver of status."
NMF,3,0.4483605118944556,"To : XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX From : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX PA XXXX RE : Debt Validation Request Per Section 809 ( FDCPA ) To Whom It May Concern please be advised that this is not a refusal to pay, but a notice that your claim is being disputed and validation is requested. Under the Fair Debt collection Practices Act ( FDCPA ), I have the right to request validation of the debt that you say I owe you. I am requesting proof that I am indeed the party you are asking to pay this debt, and is there some contractual obligation that is binding on me to pay this alleged debt. Prove to me beyond a reasonable doubt that I have a signed contract with your company XXXX XXXX XXXX agreeing to pay this assigned debt. Please prove that you are the original creditor. This is NOT a request for verification or proof of my mailing address, nor is it a request for ownership of legal rights to a debt but a request for VALIDATION made pursuant to 15 USC 1692g Sec. 809 ( b ) of the FDCPA. I hereby order you and respectfully request that your offices provide me with competent evidence that I have any legal obligation to pay you. At this time I will also inform you that if your offices have or continue to report invalidated information to any of the three major credit bureaus ( XXXX, XXXX, XXXX XXXX ), this action might constitute fraud under both federal and state laws. Due to this fact, if any negative mark is found or continues to report on any of my credit reports by your company or the company you represent, I will not hesitate in bringing legal action against you and your client for the following : Violation of the Fair Debt Collection Practices Act and Defamation of Character. I am sure your legal staff will agree that non-compliance with this request could put your company in serious legal trouble with the FTC and other state or federal agencies. If your offices are able to provide the proper documentation as requested in the following declaration, I will require 30 days to investigate this information and during such time all collection activity must cease and desist. Also, during this validation period, if any action is taken which could be considered detrimental to any of my credit reports, I will consult with my legal counsel for a civil suit. This includes any listing of any information to a credit-reporting repository that could be inaccurate or invalidated. If your offices fail to respond to this validation request and fail to prove that you are the original creditor with proof of a signed agreement within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from my credit report and a copy of such deletion request shall be sent to me immediately. It would be advisable that you and your client assure that your records are in order before I am forced to take legal action. Regards XXXX XXXX XXXX cc Federal Trade Commission XXXX XXXX XXXX XXXX XXXX XXXX"
NMF,4,0.40644338887935777,"Collections Show All Dispute Options A collection is an account that has been turned over to a collection agency by one of your creditors because they believe the account has not been paid as agreed. ENHANCED RECOVERY COMPANY Dispute Item Agency Address : XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX Date Reported : XXXX Date Assigned : XXXX Creditor Classification : Cable/Cellular Creditor Name : XXXX Account Number : XXXX Account Owner : Individual Account. Original Amount Owned : {$400.00} Date of XXXX XXXX Delinquency : XXXX Balance Date : XXXX Balance Owned : {$400.00} Last Payment Date : Status Date : XXXX Status : D - Unpaid Comments : N/A Continue Dispute Summary XXXX XXXX XXXX for : XXXX XXXX As of Date : XX/XX/XXXX Personal Information Accounts Negative Information Inquiries Copyright ( C ) XX/XX/XXXX XXXX XXXX"
NMF,4,0.4035033272473249,"ERC Collection Creditor Phone Number XXXX XXXX XXXX XXXX Creditor Address XXXX XXXX XXXX XXXX, FL XXXX This company has re-aged a collection account. The date opened is being reported as XX/XX/XXXX however, this account was placed for collection with the Original Creditor - XXXX - in XX/XX/XXXX. This is a clear violation of FCRA laws."
NMF,4,0.34288299479124634,"I have requested debt validation from this company several times. I have requested information about what this account is for, the date of XXXX delinquency, and an itemized final bill from ERC. 

The XXXX request was over 60 days ago and the last request was over 30 days ago. The only information I have recieved is a paid in full letter. I requested debt validation. 
I was told over the phone that ERC does not have this information and they need to contact the Original Creditor for this information. 
I paid this debt in full to the Original Creditor, ERC is continuing to report this debt with inaccurate information to the CRA including the date of first delinquency and the amount of the debt owed."
