consumer_complaint_narrative,product,issue,company_name,date_received,clean_text,word_count,lda_topic,nmf_topic
"During my time as an employee for XXXX, I was encouraged to open a Dealer or Concession line as my business contact number. I successfully opened an account and paid monthly according to my contract. Unfortunately that phone was stolen/lost by a fellow employee and I had documentation from XXXX to verify, it was ultimately reported as lost to the company and my superiors in a timely manner. I was told by my manager to open another line, as I would n't be eligible for employee discounts if I fully cancelled my original account for 3 to 6 months. I was instructed to use my social security number to open another type of employee discount account and did so without issue. I used this new account until I parted ways with the company. I was informed that all employee accounts would be terminated upon my leaving and that all devices had to be returned. I left my phone at my store location with my manager and called into employee care to verify the information he had given me, which they did. 

Nearly a year later I requested a credit check and saw that I had been sent to collections over a debt with XXXX. When I called in to see where the debt had originated I was bounced back and forth between XXXX and XXXX as neither said they could help me ; XXXX XXXX because I was a consumer, and XXXX because I had been an employee for the duration of my account. 

My current position allowed me to open an employee line with XXXX although they are NOT my employer, and I used this opportunity to begin a dialogue with someone who could possibly work on clearing up this debt from within the company. After weeks of telephone and email correspondence with the gentleman, I was offered the ability to pay off the debt and then be immediately reimbursed the money if I opened another account with XXXX. I felt immensely pressured to take the offer to save my credit but ultimately decided to pass, as I was n't comfortable being forced into signing another binding contract with the company to erase a debt that should never have occurred. 

Throughout the duration of this, going on two years, I have been called repeatedly by multiple Debt Collection Agencies each time the "" debt '' is sold off to a new company. I 've been called at work, late in the evening, inappropriately early in the mornings, and now XXXX prompting me to submit a complaint XXXX a NEW company has begun calling my family members in other states.",Debt collection,Cont'd attempts collect debt not owed,ERC,7/13/2015,during time employee for was encouraged open dealer concession line business contact number successfully opened account and paid monthly according contract unfortunately that phone was stolen lost fellow employee and had documentation from verify was ultimately reported lost the company and superiors timely manner was told manager open another line would eligible for employee discounts fully cancelled original account for months was instructed use social security number open another type employee discount account and did without issue used this new account until parted ways with the company was informed that all employee accounts would terminated upon leaving and that all devices had returned left phone store location with manager and called into employee care verify the information had given which they did nearly year later requested credit check and saw that had been sent collections over debt with when called see where the debt had originated was bounced back and forth between and neither said they could help because was consumer and because had been employee for the duration account current position allowed open employee line with although they are not employer and used this opportunity begin dialogue with someone who could possibly work clearing this debt from within the company after weeks telephone and email correspondence with the gentleman was offered the ability pay off the debt and then immediately reimbursed the money opened another account with felt immensely pressured take the offer save credit but ultimately decided pass was comfortable being forced into signing another binding contract with the company erase debt that should never have occurred throughout the duration this going two years have been called repeatedly multiple debt collection agencies each time the debt sold off new company been called work late the evening inappropriately early the mornings and now prompting submit complaint new company has begun calling family members other states,306,2,1
"I have been monitoring my credit weekly for 2 years now and have discovered that ERC, a third-party debt buyer, has reported a {$59.00} derogatory collection on my credit reports. I was never given any notice of the debt due ... never given a chance to dispute the issue within the 30 day period, which is required by law and a violation of my consumer rights under the FCRA. 
I am writing to obtain validation that the company has a right to collect this money from me. Thus, ERC indicates that XXXX XXXX is the original creditor ; however, I never owed XXXX XXXX any money. When I moved from XXXX, I returned the equipment to the XXXX office and paid the amount that XXXX XXXX said that I owed to close the account and pay the balance in full. This was done in XXXX 2015. Furthermore, around XXXX 2015, I received a 'refund ' from XXXX XXXX of {$44.00}. 
Again, I need validation of this debt from ERC. What was the original amount of the debt? What was the original account number and date of original debt? MORE IMPORTANTLY, please tell me why you believe that you have a right to collect this debt? Please provide verification and "" documentation '' that there is a valid basis for claiming that I am required to pay the debt to this current creditor. For example, can you provide a copy of the written agreement that created my original requirement to pay? Also, a copy of the last billing statement from the original creditor is required.",Debt collection,Cont'd attempts collect debt not owed,ERC,4/30/2016,have been monitoring credit weekly for years now and have discovered that erc third party debt buyer has reported derogatory collection credit reports was never given any notice the debt due never given chance dispute the issue within the day period which required law and violation consumer rights under the fcra writing obtain validation that the company has right collect this money from thus erc indicates that the original creditor however never owed any money when moved from returned the equipment the office and paid the amount that said that owed close the account and pay the balance full this was done furthermore around received refund from again need validation this debt from erc what was the original amount the debt what was the original account number and date original debt more importantly please tell why you believe that you have right collect this debt please provide verification and documentation that there valid basis for claiming that required pay the debt this current creditor for example can you provide copy the written agreement that created original requirement pay also copy the last billing statement from the original creditor required,189,2,4
"I previously had phone service with XXXX XXXX. My bill was set up on auto-pay and was taken directly from my account each month. I switched phone carriers, which resulted in a final bill, which was paid automatically on XX/XX/XXXX. I have attached documentation to reflect this information ( my XXXX account was under a previous last name of mine ). 

For some reason, XXXX has repeatedly placed the amount for this final bill ( {$1000.00} ) with multiple third party collection agencies/attorney firms. I have disputed this several times and have even received confirmation that the dispute was closed in my favor. I requested a full validation of debt from the last agency that contacted me in regards to this. I received that validation of debt documentation on XX/XX/XXXX. This documentation clearly shows my final bill and the corresponding payment, reflecting a XXXX balance owed. Not only is this causing unnecessary stress, it is now negatively impacting me. I was recently denied credit because this is reflecting on my credit report and I also had to accept a car loan with a much higher interest rate than I feel I would have qualified for. I responsibly pay all of my bills through auto-pay because I care very much about my credit rating. I am very upset that this is impacting me so negatively and I was actually really embarrassed during the car buying process when this came up. I do not know what I need to do to get it resolved.",Debt collection,Attempts to collect debt not owed,ERC,3/9/2019,previously had phone service with bill was set auto pay and was taken directly from account each month switched phone carriers which resulted final bill which was paid automatically have attached documentation reflect this information account was under previous last name mine for some reason has repeatedly placed the amount for this final bill with multiple third party collection agencies attorney firms have disputed this several times and have even received confirmation that the dispute was closed favor requested full validation debt from the last agency that contacted regards this received that validation debt documentation this documentation clearly shows final bill and the corresponding payment reflecting balance owed not only this causing unnecessary stress now negatively impacting was recently denied credit because this reflecting credit report and also had accept car loan with much higher interest rate than feel would have qualified for responsibly pay all bills through auto pay because care very much about credit rating very upset that this impacting negatively and was actually really embarrassed during the car buying process when this came not know what need get resolved,182,3,4
"Several debt collectors have called me on behalf of XXXX XXXX. The one that contacted me today was ERC. I already settled my debt with XXXX XXXX through XXXX on XX/XX/XXXX i the amount of {$180.00} which is 50 % of the total amount owed. I spoke to XXXX XXXX when I made the payment. The phone number she provided on XX/XX/XXXX was XXXX. She also provided a Ref # that I will provide upon request. XXXX who is also with XXXX, provided XXXX. When I called that number a gentleman answered and said that he would transfer me to the "" correct department '' I asked, "" What is the correct department? '' He repeated, "" I will transfer your call to the correct department. '' I held for approximately XXXX XXXX and then he disconnected the call. Then, I placed a call to XXXX XXXX to ask for a list of their legitimate authorized debt collectors, so I know which ones to report to the FTC. My call was answered by XXXX who stated that her records show that I still owe {$180.00}. I insisted that I do not owe that amount, and I settled for {$180.00} on XX/XX/XXXX. XXXX confirmed that a payment in the amount if {$180.00} was made, but that I still owe {$180.00}. After an unresolved debate, XXXX transferred my call to another representative who could not find an account to match my phone number. He answered the call in XXXX, but I assured him that I am not fluent enough in XXXX for him to take my call. He also attempted to give me instructions to dial in again, and put in a series of "" ten zeroes '' as opposed to my actual phone numbers. I stated that I am not willing to continue to follow their instructions, because I have not received a resolution for my request, nor were the seeking to honor my request, but to collect money that is no longer due to them. I informed the representative from XXXX XXXX that I would seek legal action against XXXX XXXX and all of those collecting on their behalf if I receive another phone call, because it is now harrassment.",Debt collection,Attempts to collect debt not owed,ERC,5/12/2021,several debt collectors have called behalf the one that contacted today was erc already settled debt with through the amount which the total amount owed spoke when made the payment the phone number she provided was she also provided ref that will provide upon request who also with provided when called that number gentleman answered and said that would transfer the correct department asked what the correct department repeated will transfer your call the correct department held for approximately and then disconnected the call then placed call ask for list their legitimate authorized debt collectors know which ones report the ftc call was answered who stated that her records show that still owe insisted that not owe that amount and settled for confirmed that payment the amount was made but that still owe after unresolved debate transferred call another representative who could not find account match phone number answered the call but assured him that not fluent enough for him take call also attempted give instructions dial again and put series ten zeroes opposed actual phone numbers stated that not willing continue follow their instructions because have not received resolution for request nor were the seeking honor request but collect money that longer due them informed the representative from that would seek legal action against and all those collecting their behalf receive another phone call because now harrassment,228,4,5
"On XX/XX/2020 I settled and paid a debt with Enhance recovery collection agency then requested that the account be removed from my credit report because Im trying to buy a house. My score dropped down 35 points because of this and Im still trying to recover from this point drop. I was told that they do not remove anything and that a manager would call me back. 

I was passed around from one agent to another and none we able to help me. As of today, I have yet to receive a call from a manager and the collection remains on my report and has a huge NEGATIVE red for the month of XXXX when this was legally paid in XXXX.",Debt collection,Attempts to collect debt not owed,ERC,7/9/2020,settled and paid debt with enhance recovery collection agency then requested that the account removed from credit report because trying buy house score dropped down points because this and still trying recover from this point drop was told that they not remove anything and that manager would call back was passed around from one agent another and none able help today have yet receive call from manager and the collection remains report and has huge negative red for the month when this was legally paid,85,3,1
It is showing on my credit report that i owe money on XXXX when i already paid everything. Infact I still have an open account on XXXX for my internet swervice and home phone service. I have ask XXXX why is this Debt showing from this company and they have told me they dont know why or how. They said they have contacted the Debt collector and told them that i dont owe any balance from them and they still didnt take it out of my credit report. I have called the Agency to show me proof of this Debt and they refuse to send me any document. This is affecting my credit big time since im trying to build my credit and purchase a house.,Debt collection,Cont'd attempts collect debt not owed,ERC,7/24/2015,showing credit report that owe money when already paid everything infact still have open account for internet swervice and home phone service have ask why this debt showing from this company and they have told they dont know why how they said they have contacted the debt collector and told them that dont owe any balance from them and they still didnt take out credit report have called the agency show proof this debt and they refuse send any document this affecting credit big time since trying build credit and purchase house,92,1,5
"On XX/XX/2021, I contacted ERC regarding an XXXX XXXX XXXX bill that was placed in collections, ( Ref No. XXXX ). I made a settlement arrangement and made payment of that settlement on XX/XX/2021. I was also promised that my file would be updated and the collections removed. I have contacted ERC and is now being told that they were not the original collection agency who placed the account into collection and I would have to look at my credit report to find out who the agency was. I was also told i can contact XXXX XXXX XXXX. I looked at my report and did not see anything. I then decided to contact XXXX XXXX XXXX. I tried for 7 days to get to a rep that could assist me but got the run around ( we no longer have this account, you would have to check with XXXX. When get in contact with XXXX, I was told by the XXXX  rep, you have to contact XXXX XXXX XXXX as they were the original account holder ). I am now contacting the CFPB as I am at a dead end.",Debt collection,Attempts to collect debt not owed,ERC,4/12/2021,contacted erc regarding bill that was placed collections ref made settlement arrangement and made payment that settlement was also promised that file would updated and the collections removed have contacted erc and now being told that they were not the original collection agency who placed the account into collection and would have look credit report find out who the agency was was also told can contact looked report and did not see anything then decided contact tried for days get rep that could assist but got the run around longer have this account you would have check with when get contact with was told the rep you have contact they were the original account holder now contacting the cfpb dead end,121,3,4
"Enhanced Recovery Corporation, XXXX, FL XXXX. XXXX XXXX XXXX debt for early cancellation fee. 

XXXX promised cell phone coverage at my home address. I had no cell phone signal at my home address and could not make or receive calls. After 2 years of complaining to tech support no resolution was found. I switched to XXXX after seeing a friends phone was fully operational at my home. This was explained to XXXX and they still refused to let me out of my contract. I decided to cancel my XXXX cell phone service for breach of contract to provide cell phone service to a location within the service area as shown to me on the XXXX map at time of purchase. The above was mailed to the initial debt collection agency who did not respond. I still receive a daily phone call from Enhanced Recovery via a recorded message in an attempt to collect XXXX early cancellation fee invoiced in XXXX 2010. All other monthly charges were paid in full except the cancellation fee.",Debt collection,Cont'd attempts collect debt not owed,ERC,8/21/2015,enhanced recovery corporation debt for early cancellation fee promised cell phone coverage home address had cell phone signal home address and could not make receive calls after years complaining tech support resolution was found switched after seeing friends phone was fully operational home this was explained and they still refused let out contract decided cancel cell phone service for breach contract provide cell phone service location within the service area shown the map time purchase the above was mailed the initial debt collection agency who did not respond still receive daily phone call from enhanced recovery via recorded message attempt collect early cancellation fee invoiced all other monthly charges were paid full except the cancellation fee,116,3,1
This is a debt from XXXX that has already been paid through another debt collection agency that was hired to collect on the same exact debt.,Debt collection,Cont'd attempts collect debt not owed,ERC,10/3/2016,this debt from that has already been paid through another debt collection agency that was hired collect the same exact debt,21,3,1
I had a balance from XXXX and received a settlement letter. I paid the balance due to settle and now Enhanced Recovery has no documentation of the payment 1 year later and will not remove the balance from my credit report. I have called several times and tried to dispute but no results. I was told by the agency that the debt would be removed and that I will receive a proof of payment. I have not received any thing at this point.,Debt collection,Cont'd attempts collect debt not owed,ERC,6/9/2016,had balance from and received settlement letter paid the balance due settle and now enhanced recovery has documentation the payment year later and will not remove the balance from credit report have called several times and tried dispute but results was told the agency that the debt would removed and that will receive proof payment have not received any thing this point,62,3,4
